precio,m2,dormitorios,banos,estacionamiento,enlace
500000,59,2,2,1,https://casas.mitula.cl/adform/24301-256-454a-6581a8b566c3-b8bc-755d17b8-34f9?page=7&pos=6&t_sec=1&t_pvid=e9614c1f-ff92-456a-9bbc-28e7451fcb9a&hd=false
620000,70,2,2,0,https://casas.mitula.cl/adform/24301-256-456e-60d81bb2b775-a381-fb9ac0df-2f96?page=3&pos=0&t_sec=1&t_pvid=fca5eec1-8dac-4aef-b40b-b0bc37e1cf1c&hd=false
580000,57,2,5,1,https://casas.mitula.cl/adform/24301-256-458e-81f6776f7750-a90a-fa6e34ed-cbdf?page=7&pos=3&t_sec=1&t_pvid=e9614c1f-ff92-456a-9bbc-28e7451fcb9a&hd=false
990000,68,2,5,0,https://casas.mitula.cl/adform/24301-256-45ca-b0ee1bb30428-a12f-f7dc93ee-e117?page=6&pos=18&t_sec=1&t_pvid=d8b8cd06-36f6-4b7d-84d6-73b27ecd1dba&hd=false
570000,56,3,1,1,https://casas.mitula.cl/adform/24301-256-45eb-33ff6f5719ab-8754-d382d48f-b1e1?page=7&pos=11&t_sec=1&t_pvid=e9614c1f-ff92-456a-9bbc-28e7451fcb9a&hd=false
500000,45,2,1,1,https://casas.mitula.cl/adform/24301-256-45fb-b444dfcb25d4-8d29-cd893883-36de?page=7&pos=0&t_sec=1&t_pvid=e9614c1f-ff92-456a-9bbc-28e7451fcb9a&hd=false
550000,48,2,1,0,https://casas.mitula.cl/adform/24301-256-4614-faf746600cf1-8c43-aff34df3-5a28?page=3&pos=2&t_sec=1&t_pvid=fca5eec1-8dac-4aef-b40b-b0bc37e1cf1c&hd=false
500000,60,3,2,1,https://casas.mitula.cl/adform/24301-256-4636-631ce4b695bb-8357-361d9ae4-a4b?page=12&pos=2&t_sec=1&t_pvid=9de5cc26-ee18-428d-9b00-b1b2d8188f1e&hd=false
450000,55,2,1,0,https://casas.mitula.cl/adform/24301-256-4729-c89917041507-8915-aa8b6fbe-73e6?page=5&pos=6&t_sec=1&t_pvid=bf6ce94d-1cd4-4b7e-af62-9d7888853053&hd=false
1200000,85,3,2,0,https://casas.mitula.cl/adform/24301-256-4753-295964092dba-a59f-1b627919-f54c?page=5&pos=3&t_sec=1&t_pvid=bf6ce94d-1cd4-4b7e-af62-9d7888853053&hd=false
470000,54,3,1,1,https://casas.mitula.cl/adform/24301-256-4825-5c17ec55ab63-b9a6-c31d7a07-817f?page=7&pos=14&t_sec=1&t_pvid=e9614c1f-ff92-456a-9bbc-28e7451fcb9a&hd=false
490000,60,3,1,0,https://casas.mitula.cl/adform/24301-256-487f-db4a8b3e9b83-bc2f-6ff350a2-b863?page=3&pos=12&t_sec=1&t_pvid=fca5eec1-8dac-4aef-b40b-b0bc37e1cf1c&hd=false
640000,65,2,5,0,https://casas.mitula.cl/adform/24301-256-48b9-d2835f42e9db-b293-5fe23d0b-71b3?page=6&pos=17&t_sec=1&t_pvid=d8b8cd06-36f6-4b7d-84d6-73b27ecd1dba&hd=false
500000,46,2,2,0,https://casas.mitula.cl/adform/24301-256-48e6-ab5715008dd1-b337-d89b5da4-988e?page=6&pos=22&t_sec=1&t_pvid=d8b8cd06-36f6-4b7d-84d6-73b27ecd1dba&hd=false
450000,65,3,2,1,https://casas.mitula.cl/adform/24301-256-4952-59fe89f9c123-8bc0-35e589c1-e32c?page=1&pos=24&t_sec=1&t_pvid=521187bd-ff52-4d42-896b-df1805fb0df6&hd=false
600000,69,2,2,0,https://casas.mitula.cl/adform/24301-256-497b-a757b96fba1d-aa15-d7698c20-9b4f?page=3&pos=1&t_sec=1&t_pvid=fca5eec1-8dac-4aef-b40b-b0bc37e1cf1c&hd=false
500000,45,2,1,1,https://casas.mitula.cl/adform/24301-256-4980-47e5034a34e-acc8-9dd801a2-d038?page=10&pos=15&t_sec=1&t_pvid=af630042-f96a-46bd-b0a6-777dc8d00cb7&hd=false
650000,52,2,2,1,https://casas.mitula.cl/adform/24301-256-499d-308ac975f0f6-8e5b-c30cb200-64a1?page=10&pos=13&t_sec=1&t_pvid=af630042-f96a-46bd-b0a6-777dc8d00cb7&hd=false
850000,70,2,2,1,https://casas.mitula.cl/adform/24301-256-49a2-7b9d4f8190dc-9cdc-de19aa6f-e51d?page=7&pos=2&t_sec=1&t_pvid=e9614c1f-ff92-456a-9bbc-28e7451fcb9a&hd=false
1200000,91,3,2,0,https://casas.mitula.cl/adform/24301-256-49e1-c9eb5168cd0e-b5e6-6b44b2e4-eee0?page=6&pos=15&t_sec=1&t_pvid=d8b8cd06-36f6-4b7d-84d6-73b27ecd1dba&hd=false
780000,99,4,3,0,https://casas.mitula.cl/adform/24301-256-4a03-52530969e1be-a348-d8e9345a-92f7?page=2&pos=25&t_sec=1&t_pvid=e02a8ce9-5325-4d77-8de1-7f42945da528&hd=false
800000,68,2,2,1,https://casas.mitula.cl/adform/24301-256-4a2b-877283e3a106-8556-15e8c876-6915?page=6&pos=29&t_sec=1&t_pvid=d8b8cd06-36f6-4b7d-84d6-73b27ecd1dba&hd=false
550000,57,1,2,0,https://casas.mitula.cl/adform/24301-256-4a36-c24084715392-b2f6-c474f954-b3d9?page=7&pos=12&t_sec=1&t_pvid=e9614c1f-ff92-456a-9bbc-28e7451fcb9a&hd=false
780000,51,2,1,0,https://casas.mitula.cl/adform/24301-256-4af9-8136a0a297eb-9b6d-f58acc00-8cc7?page=6&pos=19&t_sec=1&t_pvid=d8b8cd06-36f6-4b7d-84d6-73b27ecd1dba&hd=false
450000,41,3,1,1,https://casas.mitula.cl/adform/24301-256-4b04-f4d7569e75da-a252-bac25c15-ce3b?page=12&pos=5&t_sec=1&t_pvid=9de5cc26-ee18-428d-9b00-b1b2d8188f1e&hd=false
720000,80,3,2,1,https://casas.mitula.cl/adform/24301-256-4b0b-2a842e4cbc66-addc-7b2e890e-6fa5?page=6&pos=28&t_sec=1&t_pvid=d8b8cd06-36f6-4b7d-84d6-73b27ecd1dba&hd=false
450000,50,2,2,0,https://casas.mitula.cl/adform/24301-256-4b26-af4d4c1c3130-933e-b7e7676d-c676?page=12&pos=7&t_sec=1&t_pvid=9de5cc26-ee18-428d-9b00-b1b2d8188f1e&hd=false
460000,48,1,1,1,https://casas.mitula.cl/adform/24301-256-4be4-e80e62564952-9853-d60b130f-8ad1?page=7&pos=19&t_sec=1&t_pvid=e9614c1f-ff92-456a-9bbc-28e7451fcb9a&hd=false
750000,72,3,2,1,https://casas.mitula.cl/adform/24301-256-4bfb-3b4f42627ad1-a30d-73b00833-6d93?page=7&pos=13&t_sec=1&t_pvid=e9614c1f-ff92-456a-9bbc-28e7451fcb9a&hd=false
380000,25,1,1,0,https://casas.mitula.cl/adform/24301-256-4c00-fd7612bf5330-858d-f5210f8a-c1cd?page=3&pos=5&t_sec=1&t_pvid=fca5eec1-8dac-4aef-b40b-b0bc37e1cf1c&hd=false
550000,40,1,1,1,https://casas.mitula.cl/adform/24301-256-4c24-6adc9ec43ece-891a-34dd3d79-5c58?page=7&pos=15&t_sec=1&t_pvid=e9614c1f-ff92-456a-9bbc-28e7451fcb9a&hd=false
750000,75,3,2,1,https://casas.mitula.cl/adform/24301-256-4c28-1b7e038edb83-af12-cced5780-4ce4?page=7&pos=9&t_sec=1&t_pvid=e9614c1f-ff92-456a-9bbc-28e7451fcb9a&hd=false
600000,65,2,2,1,https://casas.mitula.cl/adform/24301-256-4c59-e8b1a703dc37-955f-a66b92b6-1314?page=7&pos=1&t_sec=1&t_pvid=e9614c1f-ff92-456a-9bbc-28e7451fcb9a&hd=false
700000,70,2,2,0,https://casas.mitula.cl/adform/24301-256-4c5e-3a587b3c82e5-a79e-1330d097-251f?page=6&pos=24&t_sec=1&t_pvid=d8b8cd06-36f6-4b7d-84d6-73b27ecd1dba&hd=false
600000,68,2,2,1,https://casas.mitula.cl/adform/24301-256-4c87-d2042a64f4b0-bb4f-6a935b9b-a787?page=7&pos=4&t_sec=1&t_pvid=e9614c1f-ff92-456a-9bbc-28e7451fcb9a&hd=false
650000,68,3,2,1,https://casas.mitula.cl/adform/24301-256-4c96-d01cf6aa2bf6-b372-cc59b4e6-6659?page=10&pos=19&t_sec=1&t_pvid=af630042-f96a-46bd-b0a6-777dc8d00cb7&hd=false
580000,45,2,2,0,https://casas.mitula.cl/adform/24301-256-4ca8-ca460ec080e8-99b7-f00cd921-84a6?page=6&pos=13&t_sec=1&t_pvid=d8b8cd06-36f6-4b7d-84d6-73b27ecd1dba&hd=false
455000,50,2,1,1,https://casas.mitula.cl/adform/24301-256-4cb4-b9245073be46-9f8f-aaae99b5-4b11?page=7&pos=27&t_sec=1&t_pvid=e9614c1f-ff92-456a-9bbc-28e7451fcb9a&hd=false
415000,58,3,1,0,https://casas.mitula.cl/adform/24301-256-4e4e-19b38d94ccab-c0fd-481b13a6-d394?page=2&pos=27&t_sec=1&t_pvid=e02a8ce9-5325-4d77-8de1-7f42945da528&hd=false
435000,56,3,1,1,https://casas.mitula.cl/adform/24301-256-4eb1-f35a72e669dd-a981-84263b78-dcd1?page=12&pos=6&t_sec=1&t_pvid=9de5cc26-ee18-428d-9b00-b1b2d8188f1e&hd=false
650000,83,2,2,1,https://casas.mitula.cl/adform/24301-256-4ee2-4768ff3dd292-8dc6-b7f29b08-568c?page=7&pos=7&t_sec=1&t_pvid=e9614c1f-ff92-456a-9bbc-28e7451fcb9a&hd=false
550000,48,2,1,1,https://casas.mitula.cl/adform/24301-256-4f40-29226e168e93-9569-2651f669-ae51?page=10&pos=16&t_sec=1&t_pvid=af630042-f96a-46bd-b0a6-777dc8d00cb7&hd=false
700000,92,2,1,0,https://casas.mitula.cl/adform/24301-256-4f5f-4e4b379cfa0a-a37a-27f0e0d5-31dd?page=2&pos=29&t_sec=1&t_pvid=e02a8ce9-5325-4d77-8de1-7f42945da528&hd=false
500000,82,3,2,0,https://casas.mitula.cl/adform/24301-256-4f61-b122a782adad-85e5-cbee450c-d4f9?page=2&pos=24&t_sec=1&t_pvid=e02a8ce9-5325-4d77-8de1-7f42945da528&hd=false
630000,63,2,2,1,https://casas.mitula.cl/adform/24301-256-4f76-86251579db8e-a354-5d138a46-f0d4?page=7&pos=5&t_sec=1&t_pvid=e9614c1f-ff92-456a-9bbc-28e7451fcb9a&hd=false
700000,71,2,2,0,https://casas.mitula.cl/adform/24301-256-4f93-96344502e63c-85ad-2bb03ec3-1a4c?page=6&pos=25&t_sec=1&t_pvid=d8b8cd06-36f6-4b7d-84d6-73b27ecd1dba&hd=false
650000,55,2,2,1,https://casas.mitula.cl/adform/24301-256-4fab-6e03486c1b20-a2b1-822a305a-89e4?page=7&pos=8&t_sec=1&t_pvid=e9614c1f-ff92-456a-9bbc-28e7451fcb9a&hd=false
600000,50,2,1,1,https://casas.mitula.cl/adform/24301-256-5012-3d64076bdd45-b591-1a88479c-6d5f?page=12&pos=4&t_sec=1&t_pvid=9de5cc26-ee18-428d-9b00-b1b2d8188f1e&hd=false
900000,70,2,2,0,https://casas.mitula.cl/adform/24301-256-5079-bb1455226c44-b23a-bbc70b17-931a?page=6&pos=12&t_sec=1&t_pvid=d8b8cd06-36f6-4b7d-84d6-73b27ecd1dba&hd=false
600000,61,2,2,0,https://casas.mitula.cl/adform/24301-256-5093-9149a2b16e80-be4b-dbb1a289-5cbe?page=3&pos=4&t_sec=1&t_pvid=fca5eec1-8dac-4aef-b40b-b0bc37e1cf1c&hd=false
450000,56,3,1,1,https://casas.mitula.cl/adform/24301-256-7102-9b7b13456b78-9d4c-19d6f19-437f?page=8&pos=26&t_sec=1&t_pvid=6580b1e5-e95e-4bbc-ad22-41128c931115&hd=false
1100000,86,3,2,1,https://casas.mitula.cl/adform/24301-256-7116-447404749620-a417-198ef21-1b99?page=10&pos=29&t_sec=1&t_pvid=af630042-f96a-46bd-b0a6-777dc8d00cb7&hd=false
700000,73,3,2,0,https://casas.mitula.cl/adform/24301-256-7116-48380f532631-9177-19acfd0-7dfe?page=16&pos=26&t_sec=1&t_pvid=ce484b53-61c1-491e-9939-9b737527fe67&hd=false
480000,46,3,1,1,https://casas.mitula.cl/adform/24301-256-7117-c64dcc5c2a8f-915f-19db728-192?page=10&pos=11&t_sec=1&t_pvid=af630042-f96a-46bd-b0a6-777dc8d00cb7&hd=false
800000,75,3,2,0,https://casas.mitula.cl/adform/24301-256-711e-3c79d40dbbe9-9915-19de5ef-9f19?page=3&pos=17&t_sec=1&t_pvid=fca5eec1-8dac-4aef-b40b-b0bc37e1cf1c&hd=false
600000,62,3,1,1,https://casas.mitula.cl/adform/24301-256-7133-48555c02c8fb-a424-19c7b30-8c16?page=14&pos=12&t_sec=1&t_pvid=337f6768-d109-45b0-8694-92d38de5ef96&hd=false
500000,53,3,2,1,https://casas.mitula.cl/adform/24301-256-7134-b5733b1180c4-adc7-19a8ccb-16ae?page=14&pos=7&t_sec=1&t_pvid=337f6768-d109-45b0-8694-92d38de5ef96&hd=false
630000,80,3,2,1,https://casas.mitula.cl/adform/24301-256-716e-d24c3d123bf6-8e19-19ddfa8-6787?page=10&pos=12&t_sec=1&t_pvid=af630042-f96a-46bd-b0a6-777dc8d00cb7&hd=false
1100000,90,2,2,0,https://casas.mitula.cl/adform/24301-256-7173-54ac0c826e32-8109-19d0da2-db55?page=9&pos=2&t_sec=1&t_pvid=420b1895-d5dd-4650-8d07-6eda32953489&hd=false
115000,70,3,2,1,https://casas.mitula.cl/adform/24301-256-7185-9417ba551a86-b93f-19b5234-f13d?page=11&pos=15&t_sec=1&t_pvid=f9d0735c-42cf-4c30-9bca-32b51ce076b7&hd=false
370000,45,3,1,1,https://casas.mitula.cl/adform/24301-256-718e-739aecf317ab-af06-19d11cc-686b?page=12&pos=10&t_sec=1&t_pvid=9de5cc26-ee18-428d-9b00-b1b2d8188f1e&hd=false
850000,90,3,2,1,https://casas.mitula.cl/adform/24301-256-718f-1f99e4d7e44f-9373-19db1e3-8840?page=2&pos=5&t_sec=1&t_pvid=e02a8ce9-5325-4d77-8de1-7f42945da528&hd=false
650000,65,2,2,1,https://casas.mitula.cl/adform/24301-256-71a2-951468c8bc7e-aba0-19db539-17a1?page=10&pos=1&t_sec=1&t_pvid=af630042-f96a-46bd-b0a6-777dc8d00cb7&hd=false
930000,105,3,2,0,https://casas.mitula.cl/adform/24301-256-71af-e369e5bbbdf2-9adb-1959aad-8859?page=9&pos=3&t_sec=1&t_pvid=420b1895-d5dd-4650-8d07-6eda32953489&hd=false
450000,55,2,2,0,https://casas.mitula.cl/adform/24301-256-71b1-9309acd489d7-a11d-19daca9-a447?page=17&pos=9&t_sec=1&t_pvid=ae3fb8b3-99b4-483d-9d8c-1e3f66935507&hd=false
1200000,87,3,2,0,https://casas.mitula.cl/adform/24301-256-71b2-a3a4675f2701-a5e7-19d94b1-9634?page=13&pos=21&t_sec=1&t_pvid=5814020f-729b-4e8b-adb1-9a87e70d6d8e&hd=false
500000,53,2,1,0,https://casas.mitula.cl/adform/24301-256-71be-611b49ab48d7-8b3b-19ce755-cb20?page=17&pos=12&t_sec=1&t_pvid=ae3fb8b3-99b4-483d-9d8c-1e3f66935507&hd=false
400000,70,3,2,0,https://casas.mitula.cl/adform/24301-256-71cd-2f789976adba-bd7c-19daa53-ca39?page=5&pos=17&t_sec=1&t_pvid=bf6ce94d-1cd4-4b7e-af62-9d7888853053&hd=false
900000,94,3,2,0,https://casas.mitula.cl/adform/24301-256-71cd-973a2cc9f75a-a8af-19ca17d-1d97?page=5&pos=7&t_sec=1&t_pvid=bf6ce94d-1cd4-4b7e-af62-9d7888853053&hd=false
550000,46,1,1,1,https://casas.mitula.cl/adform/24301-256-71d1-3c536d376d07-9bbc-19d36d5-3146?page=15&pos=28&t_sec=1&t_pvid=c4c81812-32c7-4ee1-a9f8-7a32717e1092&hd=false
1000000,92,3,2,0,https://casas.mitula.cl/adform/24301-256-71e5-681edfa68d89-c042-19798a3-7370?page=3&pos=19&t_sec=1&t_pvid=fca5eec1-8dac-4aef-b40b-b0bc37e1cf1c&hd=false
600000,49,2,1,1,https://casas.mitula.cl/adform/24301-256-71f4-41a316ead7c9-aa8b-19d31af-2d43?page=11&pos=18&t_sec=1&t_pvid=f9d0735c-42cf-4c30-9bca-32b51ce076b7&hd=false
150000,100,3,2,0,https://casas.mitula.cl/adform/24301-256-71f7-cbc69dc786f1-9367-19b0d71-7e08?page=4&pos=12&t_sec=1&t_pvid=3ccd29be-7f57-462b-99a8-66ed9b57e208&hd=false
590000,53,2,2,1,https://casas.mitula.cl/adform/24301-256-71f8-66b3fae195ec-89de-19bd65b-8516?page=11&pos=4&t_sec=1&t_pvid=f9d0735c-42cf-4c30-9bca-32b51ce076b7&hd=false
900000,80,2,2,1,https://casas.mitula.cl/adform/24301-256-71f8-ed0f7f814c1f-86b1-19cdf4a-137a?page=7&pos=17&t_sec=1&t_pvid=e9614c1f-ff92-456a-9bbc-28e7451fcb9a&hd=false
580000,61,3,2,1,https://casas.mitula.cl/adform/24301-256-721c-59b87f473d3f-9edb-19d6f10-bfa8?page=13&pos=6&t_sec=1&t_pvid=5814020f-729b-4e8b-adb1-9a87e70d6d8e&hd=false
500000,50,3,2,0,https://casas.mitula.cl/adform/24301-256-7226-a155a74db4a2-b05e-19b6513-f360?page=13&pos=26&t_sec=1&t_pvid=5814020f-729b-4e8b-adb1-9a87e70d6d8e&hd=false
300000,110,3,3,1,https://casas.mitula.cl/adform/24301-256-722a-6e6ee8718686-a380-199cf86-ad42?page=15&pos=24&t_sec=1&t_pvid=c4c81812-32c7-4ee1-a9f8-7a32717e1092&hd=false
550000,54,3,1,1,https://casas.mitula.cl/adform/24301-256-7234-3acf20371a36-bc1f-19d42a6-bf95?page=9&pos=27&t_sec=1&t_pvid=420b1895-d5dd-4650-8d07-6eda32953489&hd=false
550000,60,3,1,0,https://casas.mitula.cl/adform/24301-256-7234-80e5a4e48a27-b139-19c5708-7e43?page=16&pos=6&t_sec=1&t_pvid=ce484b53-61c1-491e-9939-9b737527fe67&hd=false
500000,50,2,1,0,https://casas.mitula.cl/adform/24301-256-7238-fc8418e3c3a8-a83e-19cb0f0-85e2?page=11&pos=21&t_sec=1&t_pvid=f9d0735c-42cf-4c30-9bca-32b51ce076b7&hd=false
950000,81,2,3,0,https://casas.mitula.cl/adform/24301-256-7239-b56f3f97e72c-8555-19b0da7-e117?page=3&pos=25&t_sec=1&t_pvid=fca5eec1-8dac-4aef-b40b-b0bc37e1cf1c&hd=false
700000,95,3,2,1,https://casas.mitula.cl/adform/24301-256-7239-eea510138fac-a39a-19d234f-6ccb?page=11&pos=25&t_sec=1&t_pvid=f9d0735c-42cf-4c30-9bca-32b51ce076b7&hd=false
580000,58,2,2,1,https://casas.mitula.cl/adform/24301-256-723a-11324ed4f839-b201-19b32e2-ccca?page=8&pos=1&t_sec=1&t_pvid=6580b1e5-e95e-4bbc-ad22-41128c931115&hd=false
450000,63,3,5,1,https://casas.mitula.cl/adform/24301-256-7245-562d6b4c2c72-8463-19c4451-54d7?page=2&pos=15&t_sec=1&t_pvid=e02a8ce9-5325-4d77-8de1-7f42945da528&hd=false
600000,55,2,1,1,https://casas.mitula.cl/adform/24301-256-724a-530302e4e8bd-b1d1-19d31ae-fe5e?page=11&pos=20&t_sec=1&t_pvid=f9d0735c-42cf-4c30-9bca-32b51ce076b7&hd=false
520000,72,3,2,0,https://casas.mitula.cl/adform/24301-256-7253-7ab6b269c83f-8491-19ae063-8fb0?page=6&pos=16&t_sec=1&t_pvid=d8b8cd06-36f6-4b7d-84d6-73b27ecd1dba&hd=false
520000,64,3,2,1,https://casas.mitula.cl/adform/24301-256-7267-835933836769-ad91-19d2507-a5bc?page=10&pos=10&t_sec=1&t_pvid=af630042-f96a-46bd-b0a6-777dc8d00cb7&hd=false
520000,54,3,2,1,https://casas.mitula.cl/adform/24301-256-7268-bc18bbe506c-8ad5-19b4ddb-4960?page=8&pos=12&t_sec=1&t_pvid=6580b1e5-e95e-4bbc-ad22-41128c931115&hd=false
620000,37,1,1,1,https://casas.mitula.cl/adform/24301-256-7277-c12e6d5839a7-aa54-19dbdce-38f3?page=11&pos=26&t_sec=1&t_pvid=f9d0735c-42cf-4c30-9bca-32b51ce076b7&hd=false
470000,48,2,1,1,https://casas.mitula.cl/adform/24301-256-728e-50b68763d5f4-97f3-19de30c-878f?page=15&pos=14&t_sec=1&t_pvid=c4c81812-32c7-4ee1-a9f8-7a32717e1092&hd=false
110000,100,3,2,0,https://casas.mitula.cl/adform/24301-256-7290-8322307343a7-8cb2-19b317d-e339?page=4&pos=28&t_sec=1&t_pvid=3ccd29be-7f57-462b-99a8-66ed9b57e208&hd=false
495000,60,2,1,0,https://casas.mitula.cl/adform/24301-256-72a1-75cbd4b28dc3-ad2e-19cb3e0-a7c0?page=5&pos=13&t_sec=1&t_pvid=bf6ce94d-1cd4-4b7e-af62-9d7888853053&hd=false
500000,51,2,1,1,https://casas.mitula.cl/adform/24301-256-72c0-db570bbe51e9-b828-19cb901-41c2?page=12&pos=19&t_sec=1&t_pvid=9de5cc26-ee18-428d-9b00-b1b2d8188f1e&hd=false
1000000,180,3,2,1,https://casas.mitula.cl/adform/24301-256-72c1-ebbd46a7a570-9a24-19dc9e8-f2bc?page=14&pos=8&t_sec=1&t_pvid=337f6768-d109-45b0-8694-92d38de5ef96&hd=false
700000,100,3,2,0,https://casas.mitula.cl/adform/24301-256-72db-140161200c02-8237-19cfbee-f81c?page=13&pos=28&t_sec=1&t_pvid=5814020f-729b-4e8b-adb1-9a87e70d6d8e&hd=false
600000,58,3,2,0,https://casas.mitula.cl/adform/24301-256-72ee-1ee3713ca5a8-8a95-19d029e-40e0?page=13&pos=11&t_sec=1&t_pvid=5814020f-729b-4e8b-adb1-9a87e70d6d8e&hd=false
650000,67,2,2,0,https://casas.mitula.cl/adform/24301-256-72f0-148bc2468522-8ca0-19d7adc-19f5?page=11&pos=7&t_sec=1&t_pvid=f9d0735c-42cf-4c30-9bca-32b51ce076b7&hd=false
470000,45,2,1,1,https://casas.mitula.cl/adform/24301-256-7302-190ea91346b5-b638-19ddde9-2770?page=10&pos=9&t_sec=1&t_pvid=af630042-f96a-46bd-b0a6-777dc8d00cb7&hd=false
1200000,97,3,2,0,https://casas.mitula.cl/adform/24301-256-7306-6e50cac13a13-984a-19dcd41-2c60?page=3&pos=20&t_sec=1&t_pvid=fca5eec1-8dac-4aef-b40b-b0bc37e1cf1c&hd=false
800000,88,3,2,0,https://casas.mitula.cl/adform/24301-256-730e-bd4cd9de0efd-b65a-19de2e1-ae41?page=3&pos=8&t_sec=1&t_pvid=fca5eec1-8dac-4aef-b40b-b0bc37e1cf1c&hd=false
470000,55,3,1,1,https://casas.mitula.cl/adform/24301-256-7327-e2789c876fdf-8926-1950340-1289?page=1&pos=25&t_sec=1&t_pvid=521187bd-ff52-4d42-896b-df1805fb0df6&hd=false
350000,34,1,1,0,https://casas.mitula.cl/adform/24301-256-7329-15e9c089f0c1-b1ac-1960301-b012?page=1&pos=26&t_sec=1&t_pvid=521187bd-ff52-4d42-896b-df1805fb0df6&hd=false
500000,50,3,2,1,https://casas.mitula.cl/adform/24301-256-7336-8d2660557419-9318-19cc35b-cc8e?page=14&pos=20&t_sec=1&t_pvid=337f6768-d109-45b0-8694-92d38de5ef96&hd=false
500000,64,2,1,1,https://casas.mitula.cl/adform/24301-256-7338-552a447f65fc-8298-19db26d-d9ac?page=15&pos=18&t_sec=1&t_pvid=c4c81812-32c7-4ee1-a9f8-7a32717e1092&hd=false
415000,40,1,1,1,https://casas.mitula.cl/adform/24301-256-733c-45247f67bb0-b824-19c7791-6b7?page=15&pos=7&t_sec=1&t_pvid=c4c81812-32c7-4ee1-a9f8-7a32717e1092&hd=false
510000,60,3,1,0,https://casas.mitula.cl/adform/24301-256-7347-a379cc691cbd-9dc1-19db042-c684?page=6&pos=8&t_sec=1&t_pvid=d8b8cd06-36f6-4b7d-84d6-73b27ecd1dba&hd=false
480000,42,2,2,1,https://casas.mitula.cl/adform/24301-256-734e-7c3ec21eb01c-8edb-19db0ab-dc4?page=9&pos=9&t_sec=1&t_pvid=420b1895-d5dd-4650-8d07-6eda32953489&hd=false
